"","Gene","Chrom","meth_context","source_name","mean_meth_percentage","HV"
"48","AT1G51480","Chr1","CpG","Cauline leaf",0.183150183150183,"non-hv"
"49","AT1G53350","Chr1","CpG","Rosette leaf",3.92363484468748,"non-hv"
"50","AT1G53350","Chr1","CpG","Cauline leaf",6.82940884687208,"non-hv"
"51","AT1G53350","Chr1","CpG","Embryos",2.21075336700337,"non-hv"
"52","AT1G53350","Chr1","CpG","Closed flower buds",7.12778730742245,"non-hv"
"53","AT1G56510","Chr1","CpG","Cauline leaf",2.47965950171833,"non-hv"
"54","AT1G56510","Chr1","CpG","Closed flower buds",2.75129606444647,"non-hv"
"55","AT1G56510","Chr1","CpG","Embryos",3.15027958152958,"non-hv"
"56","AT1G56510","Chr1","CpG","Rosette leaf",2.65865716890024,"non-hv"
"57","AT1G56520","Chr1","CpG","Cauline leaf",0.919265251729615,"non-hv"
"58","AT1G56520","Chr1","CpG","Embryos",0.56812619964897,"non-hv"
"59","AT1G56520","Chr1","CpG","Rosette leaf",0.309757735002833,"non-hv"
"60","AT1G56520","Chr1","CpG","Closed flower buds",0.226414495061486,"non-hv"
"61","AT1G56540","Chr1","CpG","Closed flower buds",0.867538362753674,"non-hv"
"62","AT1G56540","Chr1","CpG","Cauline leaf",0.712448263047963,"non-hv"
"63","AT1G56540","Chr1","CpG","Rosette leaf",0.725675440461642,"non-hv"
"64","AT1G56540","Chr1","CpG","Embryos",0.362823104568388,"non-hv"
"65","AT1G58390","Chr1","CpG","Embryos",42.9545454545455,"non-hv"
"66","AT1G58390","Chr1","CpG","Closed flower buds",20.8041437728938,"non-hv"
"67","AT1G58390","Chr1","CpG","Cauline leaf",40.9350470957614,"non-hv"
"68","AT1G58390","Chr1","CpG","Rosette leaf",62.6765851107956,"non-hv"
"69","AT1G58400","Chr1","CpG","Closed flower buds",3.125,"non-hv"
"70","AT1G58400","Chr1","CpG","Cauline leaf",0,"non-hv"
"71","AT1G58400","Chr1","CpG","Rosette leaf",7.0503108003108,"non-hv"
"72","AT1G58400","Chr1","CpG","Embryos",0.225225225225226,"non-hv"
"73","AT1G58410","Chr1","CpG","Rosette leaf",17.8248224220818,"non-hv"
"74","AT1G58410","Chr1","CpG","Closed flower buds",8.15868153274594,"non-hv"
"75","AT1G58410","Chr1","CpG","Embryos",19.0565769627689,"non-hv"
"76","AT1G58410","Chr1","CpG","Cauline leaf",5.11450702075702,"non-hv"
"77","AT1G58602","Chr1","CpG","Rosette leaf",32.4593690300927,"hv"
"78","AT1G58602","Chr1","CpG","Closed flower buds",29.3404686463732,"hv"
"79","AT1G58602","Chr1","CpG","Embryos",17.3948395632888,"hv"
"80","AT1G58602","Chr1","CpG","Cauline leaf",28.3187894425107,"hv"
"81","AT1G58848","Chr1","CpG","Embryos",0,"hv"
"82","AT1G58848","Chr1","CpG","Cauline leaf",0,"hv"
"83","AT1G58848","Chr1","CpG","Closed flower buds",1.78571428571429,"hv"
"84","AT1G58848","Chr1","CpG","Rosette leaf",0,"hv"
"85","AT1G59620","Chr1","CpG","Embryos",0.0957854406130269,"non-hv"
"86","AT1G59620","Chr1","CpG","Rosette leaf",2.36882716049383,"non-hv"
"87","AT1G59620","Chr1","CpG","Closed flower buds",2.40604696273997,"non-hv"
"88","AT1G59620","Chr1","CpG","Cauline leaf",0.154320987654321,"non-hv"
"89","AT1G59780","Chr1","CpG","Embryos",3.72104520881695,"hv"
"90","AT1G59780","Chr1","CpG","Closed flower buds",7.37432948326484,"hv"
"91","AT1G59780","Chr1","CpG","Cauline leaf",1.72754853320751,"hv"
"92","AT1G59780","Chr1","CpG","Rosette leaf",2.3668041941221,"hv"
"93","AT1G61180","Chr1","CpG","Cauline leaf",3.04475741975742,"hv"
"94","AT1G61180","Chr1","CpG","Rosette leaf",4.5841338346933,"hv"
"95","AT1G61180","Chr1","CpG","Closed flower buds",5.74209467354629,"hv"
"96","AT1G61180","Chr1","CpG","Embryos",4.03999388086306,"hv"
"97","AT1G61190","Chr1","CpG","Closed flower buds",0.182462765718471,"hv"
"98","AT1G61190","Chr1","CpG","Cauline leaf",0.439566580322883,"hv"
"99","AT1G61190","Chr1","CpG","Embryos",0.193903318903319,"hv"
"100","AT1G61190","Chr1","CpG","Rosette leaf",0.471759719113838,"hv"
"101","AT1G61300","Chr1","CpG","Rosette leaf",3.34260812588986,"hv"
"102","AT1G61300","Chr1","CpG","Embryos",4.74782267395904,"hv"
"103","AT1G61300","Chr1","CpG","Cauline leaf",1.76907651172357,"hv"
"104","AT1G61300","Chr1","CpG","Closed flower buds",5.58588470126562,"hv"
"105","AT1G61310","Chr1","CpG","Embryos",4.70611131214846,"hv"
"106","AT1G61310","Chr1","CpG","Cauline leaf",2.03887496785839,"hv"
"107","AT1G61310","Chr1","CpG","Rosette leaf",4.46703296703297,"hv"
"108","AT1G61310","Chr1","CpG","Closed flower buds",3.09970399249152,"hv"
"109","AT1G62630","Chr1","CpG","Closed flower buds",1.468729477213,"hv"
"110","AT1G62630","Chr1","CpG","Cauline leaf",1.16397392290249,"hv"
"111","AT1G62630","Chr1","CpG","Embryos",0.154389880952381,"hv"
"112","AT1G62630","Chr1","CpG","Rosette leaf",1.02500508750509,"hv"
"113","AT1G63350","Chr1","CpG","Closed flower buds",0.840300118258395,"non-hv"
"114","AT1G63350","Chr1","CpG","Embryos",1.56566498653333,"non-hv"
"115","AT1G63350","Chr1","CpG","Cauline leaf",0.993312243312243,"non-hv"
"116","AT1G63350","Chr1","CpG","Rosette leaf",0.87840021663551,"non-hv"
"117","AT1G63360","Chr1","CpG","Embryos",1.4986092840195,"hv"
"118","AT1G63360","Chr1","CpG","Closed flower buds",1.2528801843318,"hv"
"119","AT1G63360","Chr1","CpG","Rosette leaf",1.7703982715172,"hv"
"120","AT1G63360","Chr1","CpG","Cauline leaf",0.965354256845608,"hv"
"121","AT1G63730","Chr1","CpG","Cauline leaf",3.5450487012987,"non-hv"
"122","AT1G63730","Chr1","CpG","Closed flower buds",7.92953216374269,"non-hv"
"123","AT1G63730","Chr1","CpG","Embryos",2.45694022289767,"non-hv"
"124","AT1G63730","Chr1","CpG","Rosette leaf",6.91739726575792,"non-hv"
"125","AT1G63740","Chr1","CpG","Cauline leaf",38.4457027191934,"non-hv"
"126","AT1G63740","Chr1","CpG","Embryos",30.6819006819007,"non-hv"
"127","AT1G63740","Chr1","CpG","Rosette leaf",34.6965602471359,"non-hv"
"128","AT1G63740","Chr1","CpG","Closed flower buds",34.4109131725402,"non-hv"
"129","AT1G63750","Chr1","CpG","Rosette leaf",0.323048708952211,"non-hv"
"130","AT1G63750","Chr1","CpG","Embryos",0.141985788116844,"non-hv"
"131","AT1G63750","Chr1","CpG","Cauline leaf",0.314547565518709,"non-hv"
"132","AT1G63750","Chr1","CpG","Closed flower buds",0.308571990949895,"non-hv"
"133","AT1G63870","Chr1","CpG","Embryos",2.63628676366566,"non-hv"
"134","AT1G63870","Chr1","CpG","Closed flower buds",2.72061698149128,"non-hv"
"135","AT1G63870","Chr1","CpG","Cauline leaf",1.88538150110044,"non-hv"
"136","AT1G63870","Chr1","CpG","Rosette leaf",4.11043815486233,"non-hv"
"137","AT1G63880","Chr1","CpG","Rosette leaf",1.02909995731531,"non-hv"
"138","AT1G63880","Chr1","CpG","Closed flower buds",0.981498554541017,"non-hv"
"139","AT1G63880","Chr1","CpG","Embryos",0.249335564185188,"non-hv"
"140","AT1G63880","Chr1","CpG","Cauline leaf",1.14212120250152,"non-hv"
"141","AT1G64070","Chr1","CpG","Rosette leaf",1.34149317094661,"non-hv"
"142","AT1G64070","Chr1","CpG","Closed flower buds",3.17566430050693,"non-hv"
"143","AT1G64070","Chr1","CpG","Embryos",6.60417977351368,"non-hv"
"144","AT1G64070","Chr1","CpG","Cauline leaf",2.19573130020891,"non-hv"
"145","AT1G65850","Chr1","CpG","Cauline leaf",0.175438596491228,"non-hv"
"146","AT1G65850","Chr1","CpG","Closed flower buds",0.53247741603906,"non-hv"
"147","AT1G65850","Chr1","CpG","Rosette leaf",0.287037037037037,"non-hv"
"148","AT1G65850","Chr1","CpG","Embryos",0.43432757718472,"non-hv"
"149","AT1G69550","Chr1","CpG","Cauline leaf",0.335521447022148,"hv"
"150","AT1G69550","Chr1","CpG","Closed flower buds",0.0795361247947456,"hv"
"151","AT1G69550","Chr1","CpG","Rosette leaf",0.230796431291481,"hv"
"152","AT1G69550","Chr1","CpG","Embryos",0.107832988267771,"hv"
"153","AT1G72840","Chr1","CpG","Embryos",5.29252470350173,"non-hv"
"154","AT1G72840","Chr1","CpG","Cauline leaf",4.85927006256465,"non-hv"
"155","AT1G72840","Chr1","CpG","Closed flower buds",5.63383821861617,"non-hv"
"156","AT1G72840","Chr1","CpG","Rosette leaf",4.02240253647464,"non-hv"
"157","AT1G72860","Chr1","CpG","Rosette leaf",2.28792814364502,"non-hv"
"158","AT1G72860","Chr1","CpG","Closed flower buds",3.16254064375004,"non-hv"
"159","AT1G72860","Chr1","CpG","Cauline leaf",2.0911965860488,"non-hv"
"160","AT1G72860","Chr1","CpG","Embryos",2.64066092637521,"non-hv"
"161","AT2G14080","Chr2","CpG","Embryos",0.792297303729088,"hv"
"162","AT2G14080","Chr2","CpG","Closed flower buds",1.23224484813158,"hv"
"163","AT2G14080","Chr2","CpG","Rosette leaf",1.22765246449457,"hv"
"164","AT2G14080","Chr2","CpG","Cauline leaf",1.51996696114343,"hv"
"165","AT2G16870","Chr2","CpG","Closed flower buds",24.4991531095442,"non-hv"
"166","AT2G16870","Chr2","CpG","Embryos",20.0897757677126,"non-hv"
"167","AT2G16870","Chr2","CpG","Cauline leaf",31.4736794139867,"non-hv"
"168","AT2G16870","Chr2","CpG","Rosette leaf",22.7993368061688,"non-hv"
"169","AT2G17060","Chr2","CpG","Cauline leaf",1.47006787330317,"non-hv"
"170","AT2G17060","Chr2","CpG","Rosette leaf",0.520922154444882,"non-hv"
"171","AT2G17060","Chr2","CpG","Closed flower buds",1.34094658340122,"non-hv"
"172","AT2G17060","Chr2","CpG","Embryos",0.361358202783376,"non-hv"
"173","AT3G04220","Chr3","CpG","Cauline leaf",6.22731843320079,"non-hv"
"174","AT3G04220","Chr3","CpG","Rosette leaf",3.65809431321008,"non-hv"
"175","AT3G04220","Chr3","CpG","Embryos",5.71618255162559,"non-hv"
"176","AT3G04220","Chr3","CpG","Closed flower buds",7.27004676797875,"non-hv"
"177","AT3G07040","Chr3","CpG","Rosette leaf",4.65860170887531,"non-hv"
"178","AT3G07040","Chr3","CpG","Closed flower buds",7.06539728118419,"non-hv"
"179","AT3G07040","Chr3","CpG","Embryos",3.43206312973907,"non-hv"
"180","AT3G07040","Chr3","CpG","Cauline leaf",4.06203041040869,"non-hv"
"181","AT3G14460","Chr3","CpG","Closed flower buds",46.3279319416955,"non-hv"
"182","AT3G14460","Chr3","CpG","Cauline leaf",44.0538560368081,"non-hv"
"183","AT3G14460","Chr3","CpG","Embryos",49.9970944507001,"non-hv"
"184","AT3G14460","Chr3","CpG","Rosette leaf",46.1489925837836,"non-hv"
"185","AT3G14470","Chr3","CpG","Cauline leaf",32.4082837738781,"non-hv"
"186","AT3G14470","Chr3","CpG","Embryos",24.7687396437112,"non-hv"
"187","AT3G14470","Chr3","CpG","Closed flower buds",31.4607464214123,"non-hv"
"188","AT3G14470","Chr3","CpG","Rosette leaf",32.5879150247506,"non-hv"
"189","AT3G25510","Chr3","CpG","Closed flower buds",3.96627647714604,"non-hv"
"190","AT3G25510","Chr3","CpG","Rosette leaf",7.43616738653503,"non-hv"
"191","AT3G25510","Chr3","CpG","Cauline leaf",2.60550365813524,"non-hv"
"192","AT3G25510","Chr3","CpG","Embryos",6.66239316239316,"non-hv"
"193","AT3G44400","Chr3","CpG","Embryos",3.78173691060688,"hv"
"194","AT3G44400","Chr3","CpG","Cauline leaf",0.549752044112946,"hv"
"195","AT3G44400","Chr3","CpG","Closed flower buds",3.43737129952083,"hv"
"196","AT3G44400","Chr3","CpG","Rosette leaf",1.21873228969042,"hv"
"197","AT3G44480","Chr3","CpG","Closed flower buds",7.88548792259012,"hv"
"198","AT3G44480","Chr3","CpG","Embryos",8.26949170816652,"hv"
"199","AT3G44480","Chr3","CpG","Rosette leaf",5.11312448812449,"hv"
"200","AT3G44480","Chr3","CpG","Cauline leaf",5.39707977207977,"hv"
"201","AT3G44630","Chr3","CpG","Closed flower buds",5.02592592592593,"hv"
"202","AT3G44630","Chr3","CpG","Cauline leaf",5.31929181929182,"hv"
"203","AT3G44630","Chr3","CpG","Embryos",4.75727513227513,"hv"
"204","AT3G44630","Chr3","CpG","Rosette leaf",3.63911290322581,"hv"
"205","AT3G44670","Chr3","CpG","Embryos",9.94629793488153,"hv"
"206","AT3G44670","Chr3","CpG","Cauline leaf",4.59088119663168,"hv"
"207","AT3G44670","Chr3","CpG","Closed flower buds",3.66691839906126,"hv"
"208","AT3G44670","Chr3","CpG","Rosette leaf",6.54479227240421,"hv"
"209","AT3G46530","Chr3","CpG","Closed flower buds",0.264705137689009,"hv"
"210","AT3G46530","Chr3","CpG","Cauline leaf",0.308383372899502,"hv"
"211","AT3G46530","Chr3","CpG","Rosette leaf",0.274122807017544,"hv"
"212","AT3G46530","Chr3","CpG","Embryos",0,"hv"
"213","AT3G46710","Chr3","CpG","Embryos",4.88864394730681,"non-hv"
"214","AT3G46710","Chr3","CpG","Closed flower buds",5.05811815424719,"non-hv"
"215","AT3G46710","Chr3","CpG","Rosette leaf",9.75041204445002,"non-hv"
"216","AT3G46710","Chr3","CpG","Cauline leaf",3.65102639296188,"non-hv"
"217","AT3G46730","Chr3","CpG","Cauline leaf",2.52896942800789,"non-hv"
"218","AT3G46730","Chr3","CpG","Rosette leaf",1.98677248677249,"non-hv"
"219","AT3G46730","Chr3","CpG","Closed flower buds",5.89316655837124,"non-hv"
"220","AT3G46730","Chr3","CpG","Embryos",0.357142857142858,"non-hv"
"221","AT3G50950","Chr3","CpG","Cauline leaf",53.850586669708,"non-hv"
"222","AT3G50950","Chr3","CpG","Closed flower buds",53.7172539187936,"non-hv"
"223","AT3G50950","Chr3","CpG","Rosette leaf",51.8073102309943,"non-hv"
"224","AT3G50950","Chr3","CpG","Embryos",61.073350869177,"non-hv"
"225","AT3G51560","Chr3","CpG","Cauline leaf",2.30175611954788,"non-hv"
"226","AT3G51560","Chr3","CpG","Closed flower buds",1.2704871599522,"non-hv"
"227","AT3G51560","Chr3","CpG","Embryos",2.4592420075998,"non-hv"
"228","AT3G51560","Chr3","CpG","Rosette leaf",2.03677507113864,"non-hv"
"229","AT3G51570","Chr3","CpG","Closed flower buds",9.09288000688798,"non-hv"
"230","AT3G51570","Chr3","CpG","Embryos",7.86910774410774,"non-hv"
"231","AT3G51570","Chr3","CpG","Rosette leaf",6.98046162992709,"non-hv"
"232","AT3G51570","Chr3","CpG","Cauline leaf",8.97764162042548,"non-hv"
"233","AT4G08450","Chr4","CpG","Cauline leaf",20.0655046707678,"non-hv"
"234","AT4G08450","Chr4","CpG","Closed flower buds",14.3547268451776,"non-hv"
"235","AT4G08450","Chr4","CpG","Embryos",5.81395348837209,"non-hv"
"236","AT4G08450","Chr4","CpG","Rosette leaf",18.6457243270057,"non-hv"
"237","AT4G09430","Chr4","CpG","Cauline leaf",17.6985472010982,"non-hv"
"238","AT4G09430","Chr4","CpG","Rosette leaf",18.3668824862007,"non-hv"
"239","AT4G09430","Chr4","CpG","Embryos",22.4670200380428,"non-hv"
"240","AT4G09430","Chr4","CpG","Closed flower buds",15.328248072889,"non-hv"
"241","AT4G10780","Chr4","CpG","Embryos",0.0726744186046512,"non-hv"
"242","AT4G10780","Chr4","CpG","Closed flower buds",0.587000012730207,"non-hv"
"243","AT4G10780","Chr4","CpG","Rosette leaf",0.374988573517985,"non-hv"
"244","AT4G10780","Chr4","CpG","Cauline leaf",0.580818963171904,"non-hv"
"245","AT4G11170","Chr4","CpG","Embryos",0.220066391941392,"hv"
"246","AT4G11170","Chr4","CpG","Rosette leaf",0.221740826181616,"hv"
"247","AT4G11170","Chr4","CpG","Cauline leaf",0.155586560903978,"hv"
"248","AT4G11170","Chr4","CpG","Closed flower buds",0.337162379493331,"hv"
"249","AT4G12010","Chr4","CpG","Cauline leaf",19.6363192439709,"non-hv"
"250","AT4G12010","Chr4","CpG","Closed flower buds",24.8996717354362,"non-hv"
"251","AT4G12010","Chr4","CpG","Rosette leaf",23.9280123932687,"non-hv"
"252","AT4G12010","Chr4","CpG","Embryos",21.8266260596315,"non-hv"
"253","AT4G14370","Chr4","CpG","Closed flower buds",9.57894892003294,"non-hv"
"254","AT4G14370","Chr4","CpG","Cauline leaf",9.55534057669432,"non-hv"
"255","AT4G14370","Chr4","CpG","Embryos",10.9095363688954,"non-hv"
"256","AT4G14370","Chr4","CpG","Rosette leaf",5.47527823389892,"non-hv"
"257","AT4G16860","Chr4","CpG","Cauline leaf",38.8281811559122,"hv"
"258","AT4G16860","Chr4","CpG","Closed flower buds",33.7624749864333,"hv"
"259","AT4G16860","Chr4","CpG","Embryos",23.7890625,"hv"
"260","AT4G16860","Chr4","CpG","Rosette leaf",41.2377537921016,"hv"
"261","AT4G16890","Chr4","CpG","Embryos",13.0438447625948,"hv"
"262","AT4G16890","Chr4","CpG","Closed flower buds",14.7746384410261,"hv"
"263","AT4G16890","Chr4","CpG","Cauline leaf",11.1104336839631,"hv"
"264","AT4G16890","Chr4","CpG","Rosette leaf",12.9834555279602,"hv"
"265","AT4G16900","Chr4","CpG","Rosette leaf",34.1701144630832,"non-hv"
"266","AT4G16900","Chr4","CpG","Embryos",26.9112436641323,"non-hv"
"267","AT4G16900","Chr4","CpG","Closed flower buds",29.3509136512455,"non-hv"
"268","AT4G16900","Chr4","CpG","Cauline leaf",38.4756455901316,"non-hv"
"269","AT4G16920","Chr4","CpG","Cauline leaf",20.9454866548292,"hv"
"270","AT4G16920","Chr4","CpG","Rosette leaf",17.1541885042086,"hv"
"271","AT4G16920","Chr4","CpG","Embryos",16.0305933847411,"hv"
"272","AT4G16920","Chr4","CpG","Closed flower buds",22.5747861063439,"hv"
"273","AT4G16940","Chr4","CpG","Closed flower buds",1.51913122151217,"hv"
"274","AT4G16940","Chr4","CpG","Embryos",1.15753968253968,"hv"
"275","AT4G16940","Chr4","CpG","Rosette leaf",1.1481386857854,"hv"
"276","AT4G16940","Chr4","CpG","Cauline leaf",0.829442888266418,"hv"
"277","AT4G16950","Chr4","CpG","Closed flower buds",4.30277372011348,"hv"
"278","AT4G16950","Chr4","CpG","Cauline leaf",2.34009376191287,"hv"
"279","AT4G16950","Chr4","CpG","Rosette leaf",2.54418947066006,"hv"
"280","AT4G16950","Chr4","CpG","Embryos",3.00027740564825,"hv"
"281","AT4G16960","Chr4","CpG","Cauline leaf",3.55042016806723,"hv"
"282","AT4G16960","Chr4","CpG","Rosette leaf",10.010315301982,"hv"
"283","AT4G16960","Chr4","CpG","Embryos",8.20376382876383,"hv"
"284","AT4G16960","Chr4","CpG","Closed flower buds",4.56043956043956,"hv"
"285","AT4G19050","Chr4","CpG","Closed flower buds",35.9402530196543,"non-hv"
"286","AT4G19050","Chr4","CpG","Rosette leaf",31.9392330770671,"non-hv"
"287","AT4G19050","Chr4","CpG","Embryos",31.8942133092851,"non-hv"
"288","AT4G19050","Chr4","CpG","Cauline leaf",28.3144465187489,"non-hv"
"289","AT4G19510","Chr4","CpG","Closed flower buds",21.8636109261109,"non-hv"
"290","AT4G19510","Chr4","CpG","Rosette leaf",21.1633868325353,"non-hv"
"291","AT4G19510","Chr4","CpG","Embryos",19.2159060232083,"non-hv"
"292","AT4G19510","Chr4","CpG","Cauline leaf",23.6531165692397,"non-hv"
"293","AT4G19530","Chr4","CpG","Cauline leaf",2.19502235263564,"non-hv"
"294","AT4G19530","Chr4","CpG","Closed flower buds",1.77227037171878,"non-hv"
"295","AT4G19530","Chr4","CpG","Embryos",1.80220872486668,"non-hv"
"296","AT4G19530","Chr4","CpG","Rosette leaf",1.32274286546599,"non-hv"
"297","AT4G27190","Chr4","CpG","Embryos",3.3118446808923,"non-hv"
"298","AT4G27190","Chr4","CpG","Cauline leaf",2.93656001532714,"non-hv"
"299","AT4G27190","Chr4","CpG","Rosette leaf",1.82870877628942,"non-hv"
"300","AT4G27190","Chr4","CpG","Closed flower buds",6.82427502088028,"non-hv"
"301","AT4G27220","Chr4","CpG","Closed flower buds",0.325538822879248,"non-hv"
"302","AT4G27220","Chr4","CpG","Cauline leaf",0.132678410117435,"non-hv"
"303","AT4G27220","Chr4","CpG","Rosette leaf",0.194444444444444,"non-hv"
"304","AT4G27220","Chr4","CpG","Embryos",0.0776681286549708,"non-hv"
"305","AT4G33300","Chr4","CpG","Embryos",24.1438179049385,"non-hv"
"306","AT4G33300","Chr4","CpG","Closed flower buds",24.6413232244939,"non-hv"
"307","AT4G33300","Chr4","CpG","Cauline leaf",16.1647042935278,"non-hv"
"308","AT4G33300","Chr4","CpG","Rosette leaf",18.6061373646888,"non-hv"
"309","AT4G36150","Chr4","CpG","Embryos",4.09088812348382,"non-hv"
"310","AT4G36150","Chr4","CpG","Cauline leaf",4.22531896715158,"non-hv"
"311","AT4G36150","Chr4","CpG","Rosette leaf",4.29116079513121,"non-hv"
"312","AT4G36150","Chr4","CpG","Closed flower buds",2.70114864127469,"non-hv"
"313","AT5G04720","Chr5","CpG","Embryos",7.98896283642842,"non-hv"
"314","AT5G04720","Chr5","CpG","Closed flower buds",8.70477194617163,"non-hv"
"315","AT5G04720","Chr5","CpG","Cauline leaf",9.80874927604616,"non-hv"
"316","AT5G04720","Chr5","CpG","Rosette leaf",9.24930895809182,"non-hv"
"317","AT5G05400","Chr5","CpG","Closed flower buds",28.0126921296187,"non-hv"
"318","AT5G05400","Chr5","CpG","Embryos",32.6706476322335,"non-hv"
"319","AT5G05400","Chr5","CpG","Rosette leaf",28.8977174151813,"non-hv"
"320","AT5G05400","Chr5","CpG","Cauline leaf",23.4192538017758,"non-hv"
"321","AT5G11250","Chr5","CpG","Rosette leaf",21.2823029816831,"non-hv"
"322","AT5G11250","Chr5","CpG","Cauline leaf",24.2697043499183,"non-hv"
"323","AT5G11250","Chr5","CpG","Embryos",20.0153843774776,"non-hv"
"324","AT5G11250","Chr5","CpG","Closed flower buds",17.4564746364746,"non-hv"
"325","AT5G17680","Chr5","CpG","Cauline leaf",6.23573104056703,"non-hv"
"326","AT5G17680","Chr5","CpG","Embryos",6.69449938802883,"non-hv"
"327","AT5G17680","Chr5","CpG","Closed flower buds",9.44795124040741,"non-hv"
"328","AT5G17680","Chr5","CpG","Rosette leaf",7.68180702459053,"non-hv"
"329","AT5G17880","Chr5","CpG","Cauline leaf",0.430127933526352,"non-hv"
"330","AT5G17880","Chr5","CpG","Closed flower buds",2.08823438448495,"non-hv"
"331","AT5G17880","Chr5","CpG","Rosette leaf",1.46153946080304,"non-hv"
"332","AT5G17880","Chr5","CpG","Embryos",1.74530484264998,"non-hv"
"333","AT5G17890","Chr5","CpG","Closed flower buds",15.9171121425115,"non-hv"
"334","AT5G17890","Chr5","CpG","Cauline leaf",12.2591228062811,"non-hv"
"335","AT5G17890","Chr5","CpG","Embryos",8.23919191478715,"non-hv"
"336","AT5G17890","Chr5","CpG","Rosette leaf",11.9711641241759,"non-hv"
"337","AT5G17970","Chr5","CpG","Rosette leaf",3.06372549019608,"non-hv"
"338","AT5G17970","Chr5","CpG","Embryos",7.50939011968424,"non-hv"
"339","AT5G17970","Chr5","CpG","Closed flower buds",9.54210472067615,"non-hv"
"340","AT5G17970","Chr5","CpG","Cauline leaf",3.06757712405979,"non-hv"
"341","AT5G18350","Chr5","CpG","Closed flower buds",1.4088426708619,"non-hv"
"342","AT5G18350","Chr5","CpG","Embryos",3.73824418368617,"non-hv"
"343","AT5G18350","Chr5","CpG","Cauline leaf",3.03008828134456,"non-hv"
